q,trait,reverse
אני נהנה לחקור את ההבדלים התרבותיים בדרכי הטיפול הרפואי.,Openness to Experience,FALSE
אני מרגיש שמחה גדולה כשאני רואה אנשים אחרים מצליחים.,Agreeableness,FALSE
אני נוטה להרגיש פחד כשאני נמצא במקומות גבוהים או לא יציבים.,Emotionality,FALSE
אני תמיד בודק פעמיים את המינונים של תרופות שאני רושם.,Conscientiousness,FALSE
אני נוטה לבדוק את תקינות המלאי במחלקה גם כשזה לא תפקידי.,Conscientiousness,FALSE
חבריי פונים אלי בשעת צרה,Agreeableness,FALSE
אני נוטה להרגיש חוסר ביטחון כשאני נמצא בחברת אנשים חכמים מאוד.,Emotionality,FALSE
אני נהנה להצחיק קבוצות של אנשים,Extraversion,False
אני מרגיש לא בנוח כשאני משאיר משימות לא גמורות,Conscientiousness,True
אני תמיד מודה בטעותי מיד כשאני מגלה אותה.,Honesty-Humility,FALSE
אני משתדל להיות אדיב גם כשאני לחוץ,Agreeableness,False
אני נוטה להציע רעיונות לשיפור הגיבוש החברתי בצוות.,Extraversion,FALSE
אני נוטה להרגיש חוסר נוחות בסיטואציות חברתיות לא מוכרות.,Extraversion,TRUE
אני מעדיף להרוויח כסף בדרכים ישרות, גם אם זה אומר להרוויח פחות,Honesty-Humility,False
אני חושב ששימוש בכוח הוא לעיתים הדרך היחידה להשיג כבוד.,Honesty-Humility,TRUE
אני חושב שזה בסדר להשתמש במידע חסוי לטובתי האישית.,Honesty-Humility,TRUE
אני לעולם לא אשתמש במידע אישי של קולגה כדי לקדם את מעמדי.,Honesty-Humility,FALSE
אני אוהב לחשוב מחוץ לקופסה,Openness,False
אני מרגיש בשיאי כשאני צריך לנהל כמה משימות במקביל.,Extraversion,FALSE
כשאני מצליח בעבודתי אני מספר זאת לכולם,Extraversion,FALSE
אני מרגיש לא בנוח כשאני לא עומד ביעדים,Conscientiousness,True
אני תמיד מנסה להרגיע רוחות כשיש מתח בצוות הרפואי.,Agreeableness,FALSE
אני מרגיש אחריות אישית לדאוג לכך שכולם מסביבי יהיו מאושרים.,Emotionality,FALSE
אני תמיד מנסה להפוך את המשמרת ליותר מעניינת עבור כולם.,Extraversion,FALSE
אני מעדיף לעבוד על כמה פרויקטים במקביל מאשר להתרכז באחד.,Conscientiousness,TRUE
אני נהנה לנסות ללמוד מיומנויות ידניות חדשות כמו נגרות או פיסול.,Openness to Experience,FALSE
אני נוטה לדאוג לגבי דברים שקורים בעולם,Emotionality,True
אני נוטה לשכוח היכן הנחתי חפצים אישיים כמו מפתחות או טלפון.,Conscientiousness,TRUE
אני מרגיש בנוח לבקש הנחה או הטבה כשאני קונה משהו.,Extraversion,FALSE
לדעתי, רוב האנשים דואגים לאינטרסים שלהם יותר מאשר לערכי מוסר.,Honesty-Humility,TRUE
אני מרגיש מלא מרץ כשאני צריך לעבוד בצוות גדול ותוסס.,Extraversion,FALSE
ברוב הימים, אני מרגיש עליז ואופטימי.,Extraversion,FALSE
אני נוטה להישאר רגוע גם כשאנשים מנסים לעורר את כעסי.,Agreeableness,FALSE
אני מרגיש שהאישיות שלי היא מושכת ומעניינת עבור אחרים.,Extraversion,FALSE
אני מקפיד לסיים כל מה שהתחלתי, גם אם זה כבר לא מעניין אותי.,Conscientiousness,FALSE
אני תמיד מנסה למצוא פשרה שתמנע מריבות מיותרות.,Agreeableness,FALSE
אני מרגיש נוח לעבוד עם אנשים בעלי דעות שונות,Agreeableness,False
אני תמיד משתדל לעזור לאנשים סביבי להרגיש בנוח.,Agreeableness,FALSE
אני מרגיש התרגשות רבה כשאני נחשף ליצירת אמנות עוצמתית.,Openness to Experience,FALSE
אני תמיד פתוח לשמוע דעות שונות משלי, גם אם הן נראות לי מוזרות.,Openness to Experience,FALSE
אני מרגיש משיכה לרעיונות לא קונבנציונליים,Openness,False
אני חושב שחשוב מאוד לשמור על מסורות ישנות.,Openness to Experience,TRUE
אני מרגיש רגוע מאוד כשאני צריך לנהל שיחת טלפון חשובה עם אדם זר.,Extraversion,FALSE
אם אני רוצה משהו ממישהו, אני צוחק מהבדיחות הגרועות ביותר שלו.,Honesty-Humility,TRUE
אני נוטה להיות יסודי בעבודה שלי,Conscientiousness,False
אני אוהב לפגוש אנשים עם תחומי עניין דומים,Extraversion,False
אני מקפיד על סדר מופתי בתיק המקצועי ובשולחן העבודה שלי.,Conscientiousness,FALSE
אני מרגיש צורך בחיבוק או מגע פיזי כשאני עצוב.,Emotionality,FALSE
אני נוטה להרגיש חוסר מנוחה כשאני נמצא במקום סגור לאורך זמן.,Emotionality,FALSE
אני משתדל להיות מסודר בעבודה שלי,Conscientiousness,False
אני לעולם לא אעלים עין מהתנהגות לא אתית של חבר לצוות.,Honesty-Humility,FALSE
אם אוכל להרוויח סכום כסף גדול בדרך לא אתית אך חוקית, אעשה זאת.,Honesty-Humility,TRUE
אני תמיד מסיים את מה שאני אוכל, כדי לא לבזבז אוכל.,Conscientiousness,FALSE
אני תמיד משתדל להיות ישר עם הממונים עלי לגבי הקשיים שלי.,Honesty-Humility,FALSE
אני לא מרגיש צורך להראות שאני מוצלח יותר מאחרים,Honesty-Humility,False
אני סקרן לגבי תופעות טבע,Openness,False
אני מרגיש שלכל אדם מגיעה הזדמנות להסביר את עצמו.,Agreeableness,FALSE
אני מעדיף לתכנן הכל מראש ולא להשאיר מקום להפתעות.,Conscientiousness,FALSE
אני מובך לקבל מחמאות.,Honesty-Humility,FALSE
אני משתדל להיות אדיב גם במצבים קשים,Agreeableness,False
קשה לי מאוד לסלוח לקולגה שהכשיל אותי בביצוע משימה.,Agreeableness,TRUE
לדעתי, להיות עשיר ומפורסם זה אחד הדברים החשובים ביותר בחיים.,Honesty-Humility,TRUE
אני מעדיף לתכנן את חופשותיי לפרטי פרטים ולא להשאיר דבר ליד המקרה.,Conscientiousness,FALSE
אני נוטה לדאוג לגבי העתיד המקצועי שלי באופן תמידי.,Emotionality,FALSE
אני סקרן לגבי תרבויות שונות,Openness,False
אני תמיד מעדיף לנסות פתרון מקורי מאשר פתרון שגרתי.,Openness to Experience,FALSE
אני אוהב להיות מעורב באירועים חברתיים,Extraversion,False
אני לעולם לא אקח קרדיט על עבודה שמישהו אחר עשה.,Honesty-Humility,FALSE
אני אוהב יעדים אקזוטיים.,Openness to Experience,FALSE
אני תמיד מחפש ספרים שמציעים זווית ראייה חדשה על החיים.,Openness to Experience,FALSE
אני נהנה להיות האדם שמקבל את האורחים במסיבה או אירוע.,Extraversion,FALSE
אני מרגיש מלא אנרגיה כשאני מוקף בהרבה אנשים.,Extraversion,FALSE
אני תמיד מקפיד לבצע את המטלות שלי בדיוק לפי ההנחיות שניתנו לי.,Conscientiousness,FALSE
קשה לי מאוד לקבל שינויים פתאומיים בתוכניות שלי.,Openness to Experience,TRUE
אני מעדיף להפסיד מאשר לנצח בדרכים לא הוגנות,Honesty-Humility,False
אני נוטה לעבוד בצורה יסודית ומדויקת,Conscientiousness,False
אני מרגיש אשמה אם אני לוקח קרדיט על עבודה שלא עשיתי,Honesty-Humility,False
אני תמיד מחפש הזדמנויות ללמוד דברים חדשים, גם אם הם לא קשורים לעיסוקי.,Openness to Experience,FALSE
אני מרגיש פגוע מאוד כשאנשים מבקרים את היכולות המקצועיות שלי.,Agreeableness,TRUE
אני חש אי נוחות כשאני צריך להתפאר בהישגיי,Honesty-Humility,False
אני חושב שזה חשוב להבין את הרקע ההיסטורי של כל תופעה חברתית.,Openness to Experience,FALSE
אני מרגיש בטוח מאוד ביכולות שלי להתמודד עם אתגרים חדשים.,Extraversion,FALSE
אני חושב שחשוב ללמוד על זרמים פילוסופיים שונים מהמזרח והמערב.,Openness to Experience,FALSE
אני נוטה לעבוד בצורה יסודית ומדויקת,Conscientiousness,False
אני נהנה ללמוד על תהליכים פסיכולוגיים שמשפיעים על קבלת החלטות.,Openness to Experience,FALSE
אני נוטה להרגיש עצב כשאני נפרד מאנשים קרובים,Emotionality,False
אני נהנה להיות זה שמארגן את המפגשים החברתיים של החברים.,Extraversion,FALSE
אני תמיד מקפיד לסגור את כל המטלות שלי לפני סוף היום.,Conscientiousness,FALSE
אני מרגיש נוח להביע את דעותיי בפומבי,Extraversion,False
אם מישהו מדבר אליי בגסות, אני מתקשה להישאר נחמד אליו.,Agreeableness,TRUE
אני נוטה להאמין שרוב האנשים ירמו אם רק תינתן להם ההזדמנות.,Honesty-Humility,TRUE
אני נהנה ללמוד על התפתחויות בתחום האנרגיה הירוקה.,Openness to Experience,FALSE
אני תמיד מוודא שכל המכשור הרפואי כויל בדיוק לפי ההוראות.,Conscientiousness,FALSE
אני מקפיד לבצע רישום מדויק של כל חומר רפואי בו השתמשתי.,Conscientiousness,FALSE
אני נהנה לבקר במוזיאונים למדע וטכנולוגיה.,Openness to Experience,FALSE
כשאני מצליח בעבודתי אני מספר זאת לכולם.,Honesty-Humility,TRUE
אני תמיד מקפיד להגיע בזמן לכל התחייבות שקיבלתי על עצמי.,Conscientiousness,FALSE
אני נוטה להרגיש חוסר סבלנות כשאנשים מבזבזים את זמני.,Agreeableness,TRUE
אני נהנה להיות במרכז תשומת הלב של אחרים,Extraversion,False
אני מרגיש משיכה לאמנות חזותית,Openness,False
אני מרגיש התרגשות רבה כשאני רואה מופע מחול מקצועי.,Openness to Experience,FALSE
אני מאבד את הסבלנות מהר כשאנשים מסביבי לא מבינים אותי.,Agreeableness,TRUE
אם אדע שלעולם לא יתפסו אותי, הייתי מוכן לגנוב מיליון דולר.,Honesty-Humility,TRUE
אני מרגיש חסר אונים כשדברים לא מסתדרים לפי התוכנית שלי.,Emotionality,FALSE
אני מרגיש מלא חיים כשאני נמצא במרכז רחבה רוקדת.,Extraversion,FALSE
כשאני נמצא בקבוצה, אני בדרך כלל נותן לאחרים להוביל את השיחה.,Extraversion,TRUE
אני תמיד בודק שוב את האבחנה שלי אם יש לי ספק ולו הקטן ביותר.,Conscientiousness,FALSE
לעתים קרובות כשאני מנסה להשיג מטרה אני דוחף את עצמי קשה מאוד.,Conscientiousness,FALSE
אני אוהב להשתתף באירועים חברתיים,Extraversion,False
אני מרגיש חסר מנוחה כשאני לא עוסק במשהו יצרני.,Conscientiousness,FALSE
אני מרגיש שיש לי דמיון עשיר מאוד שמלווה אותי ביום-יום.,Openness to Experience,FALSE
אני חושש לנסוע במצבי מזג אוויר קיצוני.,Emotionality,FALSE
אני מאמין שיושרה חשובה יותר מהצלחה חומרית מהירה.,Honesty-Humility,FALSE
אני תמיד מחפש דרכים יצירתיות להפוך את סביבת העבודה שלי לנעימה יותר.,Openness to Experience,FALSE
אני מעדיף שמישהו אחר יקבל את ההחלטות הגדולות בצוות.,Extraversion,TRUE
אני משתדל להיות סבלני גם במצבים מאתגרים,Agreeableness,False
אני לא מנסה להרשים אנשים על ידי התנהגות מלאכותית,Honesty-Humility,False
אני לא מחפש דרכים להשיג יתרונות על חשבון אחרים,Honesty-Humility,False
לעולם לא אעגל פינות בדיווח רפואי, גם אם זה ידרוש ממני שעות נוספות.,Honesty-Humility,FALSE
אני תמיד מוודא שכל המסמכים שלי חתומים ומאושרים כנדרש.,Conscientiousness,FALSE
אנשים חושבים עליי כמישהו שיש לו מזג חם.,Agreeableness,TRUE
אני כמעט ולא מביע את הדעות שלי במפגשים קבוצתיים.,Extraversion,TRUE
אני תמיד מחפש דרכים להפוך את העולם למקום טוב יותר עבור כולם.,Openness to Experience,FALSE
אני נהנה לעזור לאנשים גם אם זה דורש ממני מאמץ נוסף.,Agreeableness,FALSE
אני מוכן לעזור לאנשים גם אם זה לא נוח לי,Agreeableness,False
אני נהנה להשתתף בסיעור מוחות שבו עולים רעיונות יוצאי דופן.,Openness to Experience,FALSE
אני מרגיש לעיתים קרובות צורך בתמיכה רגשית,Emotionality,False
אני תמיד מקפיד לנקות אחרי בטבע או במקומות ציבוריים.,Conscientiousness,FALSE
אני לא מרגיש צורך להראות לאחרים שאני חשוב,Honesty-Humility,False
אני נוטה לאבד את הריכוז אם הסביבה שלי מבולגנת.,Conscientiousness,FALSE
אני סקרן לגבי מדע וטכנולוגיה,Openness,False
אני מרגיש בנוח לדבר על הטעויות והחולשות שלי עם אחרים.,Extraversion,FALSE
אני נוטה להעדיף סדר וניקיון על פני נוחות.,Conscientiousness,FALSE
אני מרגיש סיפוק כשאני מצליח לעזור למישהו מבלי שהוא יידע שזה אני.,Honesty-Humility,FALSE
אני חושב שזה בסדר לקחת לעצמי קרדיט אם זה יעזור לצוות שלי להצליח.,Honesty-Humility,TRUE
אני מרגיש נוח כשאני צריך לדבר עם קבוצה,Extraversion,False
אני משתדל לעבוד בצורה מסודרת ומאורגנת,Conscientiousness,False
אני נהנה ללמוד על האופן שבו שפות שונות התפתחו לאורך השנים.,Openness to Experience,FALSE
אני נוטה לתכנן את המשימות שלי מראש,Conscientiousness,False
קל לי מאוד להבין מה אדם אחר מרגיש רק לפי מבט בפניו.,Emotionality,FALSE
אני מוצא את עצמי חושב הרבה על מה שאנשים אחרים חושבים עליי.,Extraversion,TRUE
אני משתדל להיות סבלני גם כשאנשים טועים,Agreeableness,False
אני נוטה להיות מאורגן בחיי היומיום,Conscientiousness,False
אני תמיד מקפיד על הגעה לפגישות 5 דקות לפני הזמן.,Conscientiousness,FALSE
אני מאמין שכל אדם דואג רק לעצמו בסופו של דבר.,Honesty-Humility,TRUE
אני אוהב לפגוש אנשים עם דעות שונות משלי,Extraversion,False
אני מרגיש מלא אנרגיה כשאני עובד בצוות עם אנשים נוספים.,Extraversion,FALSE
אני תמיד מחזיר חובות בדיוק בזמן שסיכמנו.,Honesty-Humility,FALSE
אני נוטה לתכנן את עבודתי בצורה מפורטת,Conscientiousness,False
אני נוטה לדאוג הרבה לגבי העתיד,Emotionality,True
אני מרגיש שמגיע לי יחס מועדף כשאני עומד בתור ארוך.,Honesty-Humility,TRUE
אני מוצא את עצמי חושב על מה היה קורה אילו, לגבי טעויות מהעבר.,Emotionality,FALSE
אני נוטה להזדהות עם אנשים שחווים כאב,Emotionality,False
אני נהנה לבקר במקומות חדשים שמעולם לא הייתי בהם קודם.,Openness to Experience,FALSE
אני מוצא עניין רב בלימוד שיטות טיפול חדשניות ולא שגרתיות.,Openness to Experience,FALSE
אני מרגיש בנוח לקבל משוב מאחרים,Agreeableness,False
אני לעולם לא אשתמש בסמכות שלי כדי להשפיל מישהו מתחתיי בדרגה.,Honesty-Humility,FALSE
אני מרגיש לעיתים קרובות רגשות עזים,Emotionality,False
אני נוטה להרגיש פחד כשאני צריך לעבור הליך רפואי פולשני.,Emotionality,FALSE
אני תמיד עומד במילה שלי, גם אם זה לא נוח לי.,Conscientiousness,FALSE
אני נוטה להרגיש חוסר ביטחון כשאני צריך לקבל החלטה ללא ליווי מקצועי.,Emotionality,FALSE
אני מרגיש נוח כשאני צריך להציג את עצמי,Extraversion,False
אני נהנה לדבר עם אנשים זרים בזמן המתנה בתור.,Extraversion,FALSE
אני נוטה להרגיש אשמה אם אני לא מספיק לעזור לכל מי שפנה אליי.,Agreeableness,FALSE
אני אוהב ללמוד על תחומי אמנות,Openness,False
אני נהנה לנסות לפתור בעיות מתמטיות מורכבות רק בשביל האתגר.,Openness to Experience,FALSE
אני תמיד בודק את המקורות של המידע שאני קורא באינטרנט.,Conscientiousness,FALSE
אני נוטה לבדוק את עבודתי פעמיים לפני הגשה,Conscientiousness,False
אני תמיד מוודא שכל המשימות שלי רשומות ביומן מסודר.,Conscientiousness,FALSE
אני מרגיש נוח לעבוד עם אנשים ממגוון רקעים,Agreeableness,False
אני מרגיש סיפוק כשאני נבחר להוביל פרויקט מחלקתי חדש.,Extraversion,FALSE
אני נוטה להיפגע בקלות מהערות סרקסטיות של חברים.,Emotionality,FALSE
אני נהנה להוביל את צוות העבודה שלי במצבי לחץ ואי-ודאות.,Extraversion,FALSE
אני מרגיש שכל הצלחה שלי היא תוצאה של עבודת צוות ולא רק שלי.,Honesty-Humility,FALSE
אני נוטה לעקוב אחרי מצב המטופלים שלי גם בימי החופש שלי.,Conscientiousness,FALSE
קל לי מאוד להבין ולסלוח לאנשים שטועים.,Agreeableness,FALSE
אני מוצא את עצמי חושב על המקרים הרפואיים שראיתי גם כשאני בבית.,Emotionality,FALSE
אני נהנה להוביל שיחות בקבוצות גדולות של אנשים.,Extraversion,FALSE
אני נוטה להעדיף סביבה שקטה ומסודרת שבה הכל ידוע מראש.,Conscientiousness,FALSE
אני עושה את מינימום העבודה שנדרשת כדי לצאת ידי חובה.,Conscientiousness,TRUE
אני סקרן לגבי דברים שאני לא מבין,Openness,False
אני חושב שצניעות היא תכונה שמוערכת יתר על המידה בחברה שלנו.,Honesty-Humility,TRUE
אני חושב שזה בזבוז זמן לנסות להבין אמנות מופשטת.,Openness to Experience,TRUE
אני משתדל להימנע מעימותים עם אחרים,Agreeableness,False
אני מרגיש חוסר ביטחון כשאני צריך לבצע משימה בפעם הראשונה.,Emotionality,FALSE
אני נהנה לפרק מכשירים חשמליים כדי לראות איך הם בנויים.,Openness to Experience,FALSE
אני חושב שזה חשוב להעריך את הגיוון הביולוגי שיש בעולם.,Openness to Experience,FALSE
אני לעולם לא אסתיר מידע חשוב מהצוות כדי להיראות טוב יותר.,Honesty-Humility,FALSE
אני מוכן לעזור לאנשים גם אם הם לא מבקשים,Agreeableness,False
אני נוטה להיות קפדן עם פרטים קטנים,Conscientiousness,False
אני לא משתמש בתחמונים כדי להשיג את מבוקשי,Honesty-Humility,False
אני תמיד מחפש דרכים להפוך את העבודה שלי למקצועית יותר.,Conscientiousness,FALSE
אני נהנה לקרוא על פיתוחים חדשים בתחום המחשוב והבינה המלאכותית.,Openness to Experience,FALSE
כאשר עובדים, לפעמים יש לי קשיים בשל היותי לא מאורגן.,Conscientiousness,TRUE
אני משתדל להיות הוגן גם כשאני כועס,Agreeableness,False
אני נוטה להתווכח עם אנשים שמעבירים ביקורת על דעותיי המקצועיות.,Agreeableness,TRUE
אני נלחץ מאוד כשאני צריך לבצע משימה תחת צפייה של אחרים.,Emotionality,FALSE
אני מוצא את זה קשה להישאר סבלני עם אנשים שלא מבינים הסברים פשוטים.,Agreeableness,TRUE
אני נוטה להרגיש פחד במצבים לא צפויים,Emotionality,True
אני מרגיש לא בנוח כשאני משאיר משימות לא גמורות,Conscientiousness,True
אני נוטה להימנע מעימותים גם כשאני צודק,Agreeableness,False
אני תמיד מנסה להרחיב את המעגל החברתי שלי בעבודה.,Extraversion,FALSE
אני נוטה להרגיש פחד מפני מחלות קשות, גם אם אין סימנים לכך.,Emotionality,FALSE
אני נוטה להיות פעיל מאוד בדיוני קבוצת הוואטסאפ המקצועית.,Extraversion,FALSE
אני נהנה להיות זה שמדריך את הסטודנטים החדשים במחלקה.,Extraversion,FALSE
אני נהנה לפרק דברים לחלקים כדי להבין איך הם עובדים.,Openness to Experience,FALSE
אני מעדיף להימנע מעימותים ישירים בכל מחיר.,Agreeableness,FALSE
אני אוהב להשתתף באירועים ציבוריים,Extraversion,False
אני דואג לגבי דברים שאולי יקרו בעתיד הרחוק.,Emotionality,FALSE
אני נהנה לקרוא על פריצות דרך בתחום חקר החלל.,Openness to Experience,FALSE
אני מוכן לקבל ביקורת מאחרים,Agreeableness,False
אני מרגיש חסר סבלנות כשאנשים מסביבי מתלוננים על בעיות קטנות.,Agreeableness,TRUE
כאשר אני סובל מחוויה מכאיבה, אני צריך מישהו שיגרום לי להרגיש בנוח.,Emotionality,FALSE
אני חושב שזה לגיטימי להשתמש בחנופה כדי להשיג את מה שרוצים מאנשים בעלי כוח.,Honesty-Humility,TRUE
אני מרגיש נוח לשתף פעולה עם אחרים,Agreeableness,False
אני תמיד מחפש דרכים לשלב אמנות ועיצוב בחיי היומיום שלי.,Openness to Experience,FALSE
אני מרגיש דאגה עמוקה כשאני יודע שמטופל שלי סובל מכאבים.,Emotionality,FALSE
קשה לי מאוד לקבל ביקורת מאנשים שצעירים ממני.,Agreeableness,TRUE
אני נהנה להיות המנהיג באירועים,Extraversion,False
אני נהנה לדון בנושאים תרבותיים,Openness,False
אני מאמין שחובתו של רופא היא להישאר מעודכן בטכנולוגיות החדשות ביותר.,Conscientiousness,FALSE
אני מרגיש בנוח להציג את דעותיי גם כשהן מנוגדות לדעת הרוב.,Extraversion,FALSE
אני תמיד מוודא שכל המידע שבידי מעודכן ורלוונטי.,Conscientiousness,FALSE
אני נהנה לקרוא ביוגרפיות של אנשים שהשפיעו על ההיסטוריה.,Openness to Experience,FALSE
אני מרגיש בנוח לבטא את הרגשות שלי מול אנשים אחרים.,Extraversion,FALSE
אני נוטה לעבוד בצורה יעילה ומאורגנת,Conscientiousness,False
אני חושב שדמיון חשוב לא פחות מהיגיון.,Openness to Experience,FALSE
אני נוטה להרגיש עצב כשאני חושב על העבר,Emotionality,False
אני תמיד מחפש איך לשפר את האווירה בצוות שלי.,Agreeableness,FALSE
אני לא מרגיש צורך להיות במרכז תשומת הלב,Honesty-Humility,False
אני מרגיש בנוח להנחות ישיבות צוות מורכבות.,Extraversion,FALSE
אני מרגיש עצב כשאני חושב על אובדן,Emotionality,False
אני נוטה להרגיש אשמה כבדה גם על טעויות קטנות שעשיתי.,Emotionality,FALSE
אני נהנה ללמוד דברים חדשים,Openness,False
אני תמיד בודק שסיכום המחלה כתוב בכתב ברור וקריא לכולם.,Conscientiousness,FALSE
אני נהנה ללמוד על ההיסטוריה של המדע.,Openness to Experience,FALSE
אני מרגיש נוח לעבוד בצוות עם אנשים שונים,Agreeableness,False
אני נוטה להבליג על הערות פוגעניות כדי לא להרוס את הערב.,Agreeableness,FALSE
אני מרגיש שאני אדם לא פופולארי.,Extraversion,TRUE
אני נהנה להיות זה שמקבל את ההחלטות הקשות בקבוצה.,Extraversion,FALSE
כשאני נתקל במושג חדש שאני לא מכיר, אני מיד מחפש עליו מידע.,Openness to Experience,FALSE
אני נהנה לקחת אחריות על מקרים מורכבים שאחרים חוששים מהם.,Extraversion,FALSE
אני חושב שלכל אדם יש מחיר ושזה רק עניין של סכום הכסף.,Honesty-Humility,TRUE
אני לעולם לא אקבל קרדיט על עבודה שסטודנט שלי ביצע.,Honesty-Humility,FALSE
אני מרגיש משיכה ליצירתיות באמנות,Openness,False
אני אוהב משחקי דמיון.,Openness to Experience,FALSE
אני מרגיש אנרגיה כשאני נמצא במסיבה,Extraversion,False
אני מרגיש נוח כשאני צריך לשכנע אחרים,Extraversion,False
אני נוטה לדאוג מאוד לגבי המוניטין המקצועי שלי.,Emotionality,FALSE
אני נוטה להרגיש חרדה כשאני לבד,Emotionality,True
אני מרגיש פחד כשאני חושב על אי ודאות,Emotionality,True
אני מרגיש רגוע גם כשאני נמצא בסביבה רועשת ועמוסה.,Emotionality,TRUE
אני נהנה לדון ברעיונות פילוסופיים,Openness,False
אני תמיד מתכנן את ההוצאות הכספיות שלי בקפידה.,Conscientiousness,FALSE
אני מוצא את זה קשה להודות בטעות מול אנשים שמעריכים אותי.,Honesty-Humility,TRUE
אני מרגיש צורך לבדוק שהכל נעשה כראוי,Conscientiousness,False
אני נהנה לחשוב על רעיונות תיאורטיים גם אם אין להם יישום מעשי.,Openness to Experience,FALSE
אני מעדיף לקרוא ספרי עיון מאשר ספרי עלילה או פנטזיה.,Openness to Experience,FALSE
אני מרגיש צורך לסיים משימות לפני שאני עובר הלאה,Conscientiousness,False
אני חושב שזה לגיטימי להשתמש בקיצורי דרך כדי לסיים עבודה מהר יותר.,Honesty-Humility,TRUE
אני נוטה להימנע מלהרים את הקול בוויכוחים,Agreeableness,False
אני נהנה ללמוד על תחומים לא מוכרים,Openness,False
אני תמיד משתדל להיות ישר עם עצמי לגבי היכולות שלי.,Honesty-Humility,FALSE
כשמדובר בסכנה פיזית, אני מאוד חושש.,Emotionality,FALSE
אני נוטה להכין רשימת ציוד מפורטת לפני כל הליך רפואי.,Conscientiousness,FALSE
אני מרגיש משיכה לחוויות לא שגרתיות,Openness,False
אני נוטה להרגיש חרדה כשאני צריך להתמודד עם בירוקרטיה מסובכת.,Emotionality,FALSE
אני מאמין שצניעות היא התכונה החשובה ביותר עבור מטפל.,Honesty-Humility,FALSE
אני מרגיש רגוע ושלו גם כשהסביבה שלי נמצאת במתח גבוה.,Emotionality,TRUE
אני בודק את המיילים שלי בצורה מסודרת כמה פעמים ביום.,Conscientiousness,FALSE
אני נוטה לתת אמון מלא באנשים שעובדים איתי עד שיוכח אחרת.,Agreeableness,FALSE
אני חושב שזה חשוב להעריך את היופי שבפרטים הקטנים של הטבע.,Openness to Experience,FALSE
אני מרגיש מתח כשאני צריך לקבל החלטות חשובות,Emotionality,True
אני משתדל להיות סבלני כלפי אחרים,Agreeableness,False
אני נוטה להעדיף סדר וניקיון קיצוניים בסביבת המגורים שלי.,Conscientiousness,FALSE
אני מרגיש אנרגיה כשאני משתף רעיונות,Extraversion,False
אני מעדיף מקומות עבודה שכוללים אינטראקציה חברתית פעילה.,Extraversion,FALSE
אני נוטה להרגיש חוסר נוחות כשמחמיאים לי מול אנשים אחרים.,Extraversion,TRUE
אני נשאר רגוע לחלוטין גם כשאני נמצא בסיטואציה חברתית מתוחה.,Emotionality,TRUE
אני נוטה להשקיע יותר מאמץ בעבודה כשמישהו צופה בי.,Conscientiousness,TRUE
אני מרגיש רגש עז של חמלה כשאני רואה אדם קשיש שמתקשה ללכת.,Emotionality,FALSE
אני תמיד מעדיף לומר את האמת הקשה מאשר להבטיח הבטחות שווא.,Honesty-Humility,FALSE
אני תמיד משתדל להיות כנה עם עצמי ועם אחרים,Honesty-Humility,False
אני נוטה להיבהל כשאני נתקל במקרה חירום רפואי לא צפוי.,Emotionality,FALSE
אני מרגיש סיפוק רב כשאני מצליח לפתור קונפליקט בין שני חברים.,Agreeableness,FALSE
גם במצב חירום אני לא נכנס לפאניקה.,Emotionality,TRUE
אני מרגיש צורך להגן על אנשים חלשים,Emotionality,False
אני נוטה להיות האדם השקט ביותר בחדר מלא באנשים.,Extraversion,TRUE
אני חושב שצניעות היא תכונה חיונית עבור כל איש מקצוע.,Honesty-Humility,FALSE
אני לעולם לא אציג נתונים מחקריים בצורה מטעה כדי להוכיח טענה.,Honesty-Humility,FALSE
אני חושב שחשוב מאוד לפתח חשיבה ביקורתית כלפי כל מידע שמקבלים.,Openness to Experience,FALSE
אני תמיד מוודא שכל המטלות שקיבלתי בוצעו עד הפרט האחרון.,Conscientiousness,FALSE
אני נהנה לשאת דברים באירועים חברתיים של הצוות הרפואי.,Extraversion,FALSE
אני מרגיש בנוח להיות הראשון שמתחיל לדבר בחדר מלא זרים.,Extraversion,FALSE
אני תמיד משתדל להיות כנה גם במצבים קשים,Honesty-Humility,False
אני תמיד משתדל להיות סבלני עם ילדים או קשישים.,Agreeableness,FALSE
אני לא משתמש בתחבולות כדי להשיג את מטרותיי,Honesty-Humility,False
אני מרגיש אחריות לדאוג לרווחתם של האנשים שעובדים איתי.,Emotionality,FALSE
אני נשאר רגוע כשאנשים מבקרים את העבודה שלי.,Agreeableness,FALSE
אני מרגיש רע אם אני צריך להגיד למישהו לא.,Agreeableness,FALSE
אני דואג מאוד לגבי מה שיחשבו עליי אם אעשה טעות מטופשת.,Emotionality,FALSE
אני נהנה להשתתף בדיונים ציבוריים,Extraversion,False
אני מרגיש רגוע יותר כשיש לידיי מישהו שאני סומך עליו במצבי לחץ.,Emotionality,FALSE
אני תמיד משתדל להיות שקוף במעשיי,Honesty-Humility,False
אני מוכן לעזור לאנשים גם אם הם לא מחזירים טובה,Agreeableness,False
אני תמיד מנסה לעשות מעבר למה שנדרש ממני בעבודה.,Conscientiousness,FALSE
אני מרגיש לא בנוח כשאני לא עומד בציפיות,Conscientiousness,True
אני מרגיש לעיתים קרובות צורך בנחמה,Emotionality,False
אני מרגיש בנוח לשתף פעולה עם אחרים,Agreeableness,False
